politician,country,birth date,death date,political party,gender,Instagram followers,Instagram link,X followers,X link
Jaana Pelkonen,Finland,1977.0,,Kokoomus (Finland),female,,,2.0,JaanaPelkonen
Kristiina Salonen,Finland,1977.0,,Sosialidemokraatit (Finland),female,,,3157.0,KrisseSalonen
Sandrine De Crom,Belgium,1977.0,,Open Flemish Liberals And Democrats (Belgium),female,,,,
Sarah Claerhout,Belgium,1977.0,,Christian Democratic And Flemish (Belgium),female,,,,
Stephanie Thoron,Belgium,1977.0,,Reform Movement (Belgium),female,,,,
Maria Pilar Alegria,Spain,1977.0,,PSOE (Spain),female,,,,PAlegria2011
Judith Nabakooba,Uganda,1977.0,,National Resistance Movement (Uganda),female,,,,
Judith Babirye,Uganda,1977.0,,National Resistance Movement (Uganda),female,,,1558.0,JudithBabiyre
Dilan Yesilgoz Zegerius,Netherlands,1977.0,,VVD (Netherlands),female,,,69682.0,DilanYesilgoz
Karla Rubilar Barahona,Chile,1977.0,,Independientes (Chile),female,,,,
Monica Maria Iacob Ridzi,Romania,1977.0,,PSD (Romania),female,,,,
Flor De Maria Pedraza Aguilera,Mexico,1977.0,,Partido Accion Nacional (Mexico),female,,,,
Vicky Foxcroft,United Kingdom,1977.0,,Labour (United Kingdom),female,,,24163.0,vickyfoxcroft
Berezhnaia Elena Viktorovna,Russia,1977.0,,Edinaia Rossiia (Russia),female,,,596.0,EBerezhnaya
Lucy Thomas Mayenga,Tanzania,1977.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Maksakova Igenbergs Mariia Petrovna,Russia,1977.0,,Edinaia Rossiia (Russia),female,,,,mashamaksakova
Satu Taavitsainen,Finland,1977.0,,Sosialidemokraatit (Finland),female,,,,SatuTaavitsaine
Jenny Marra,United Kingdom,1977.0,,Labour (United Kingdom),female,,,12706.0,JennyMarra
Hanke Bruins Slot,Netherlands,1977.0,,CDA (Netherlands),female,,,11197.0,HankeBruinsSlot
Gulay Samanci,Turkey,1977.0,,Adalet Ve Kalkinma Partisi (Turkey),female,,,,
Maria Jose Carrion Cevallos,Ecuador,1977.0,,Alianza Pais (Ecuador),female,,,12793.0,majo_carrion
Jelena Mijatovic,Serbia,1977.0,,Serbian Progressive Party (Serbia),female,,,,
Johanna Jurva,Finland,1977.0,,Perussuomalaiset (Finland),female,,,,
Maja Macuzic Puzic,Serbia,1977.0,,Serbian Progressive Party (Serbia),female,,,,
Rosana Alvarado Carrion,Ecuador,1977.0,,Alianza Pais (Ecuador),female,,,115903.0,alvaradorosana
Eliziane Gama,Brazil,1977.0,,PPS (Brazil),female,,,125756.0,elizianegama
Celia Alberto,Spain,1977.0,,PP (Spain),female,,,735.0,AlbertoCelia
Anna Kontula,Finland,1977.0,,Vasemmistoliitto (Finland),female,,,39254.0,annakontula
Grace Obama Chiumia,Malawi,1977.0,,DPP (Malawi),female,,,,
Merja Kyllonen,Finland,1977.0,,Vasemmistoliitto (Finland),female,,,,KyllonenMerja
Po Hong Van,Vietnam,1977.0,,,female,,,,
Agnes Krumwiede,Germany,1977.0,,Grune (Germany),female,,,,
Selina Dogan,Turkey,1977.0,,Cumhuriyet Halk Partisi (Turkey),female,,,11196.0,_SelinaDogan
Kristina Schroder,Germany,1977.0,,CDU (Germany),female,,,69291.0,schroeder_k
Rose Cyprian Tweve,Tanzania,1977.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Leyla Birlik,Turkey,1977.0,,Halklarin Demokratik Partisi (Turkey),female,,,53296.0,BirlikLeyla
Eunice Elizabeth Olsen,Singapore,1977.0,,Nominated Member Of Parliament (Singapore),female,,,,
Rny Mrw Mstf Lwn,Egypt,1977.0,,Mstql (Egypt),female,,,,
Susann Ruthrich,Germany,1977.0,,Social Democratic Party Of Germany (Germany),female,,,920.0,SusannRuethrich
Arlet Molgora Glover,Mexico,1977.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Iglika Ivanova Ivanova S Beva,Bulgaria,1977.0,,Parliamentary Group Of Pp Gerb (Bulgaria),female,,,,
Loreto Cascales Martinez,Spain,1977.0,,G.p. Popular (Spain),female,,,1587.0,LoraCascales
Mette Frederiksen,Denmark,1977.0,,,female,,,,
Liliana Pavlova Nikolova,Bulgaria,1977.0,,Parliamentary Group Of Pp Gerb (Bulgaria),female,,,,
Mryn Myr Rwfy Yl Zr,Egypt,1977.0,,Mstql (Egypt),female,,,,
Polina Tsvetoslavova Tsankova Khristova,Bulgaria,1977.0,,Parliamentary Group Of Pp Volya (Bulgaria),female,,,,
Rehema Juma Migilla,Tanzania,1977.0,,CUF (Tanzania),female,,,,
Sonja Jogvansdottir,Denmark,1977.0,,Javnadarflokkurin (Faroe Islands),female,,,,
Zaida Cantera De Castro,Spain,1977.0,,G.p. Socialista (Spain),female,,,37508.0,ZaidaCantera
Lucy Simon Magereli,Tanzania,1977.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Ingrid Nestle,Germany,1977.0,,Alliance 90 The Greens (Germany),female,,,,
Delvim Fabiola Barcenas Nieves,Mexico,1977.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Iva Dimitrova Kuseva,Bulgaria,1977.0,,Coalition For Bulgaria (Bulgaria),female,,,,
Svetlana Pavlovicova,Slovak Republic,1977.0,,Klub Smer Sd (Slovakia),female,,,,
Aysharose Ndogholi Mattembe,Tanzania,1977.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Liisa Oviir,Estonia,1977.0,,Social Democratic Party (Estonia),female,,,,liisaoviir
Devotha Methew Minja,Tanzania,1977.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Jennifer De Temmerman,France,1977.0,,En Marche (France),female,,,,JenniferDT5915
Chang Ha Na,Korea,1977.0,,Deobuleominjudang (Korea),female,,,44197.0,onethehuman
Pascale Bruderer Wyss,Switzerland,1977.0,,S (Switzerland),female,,,,PascaleBruderer
Tran Thi Dieu Thuy Tran Thi Dieu Thuy,Vietnam,1977.0,,,female,,,,
Lee Jasmine,Korea,1977.0,,Saenuridang (Korea),female,,,,
Kadri Simson,Estonia,1977.0,,Estonian Centre Party (Estonia),female,,,,kadrisimson
Kaja Kallas,Estonia,1977.0,,Estonian Reform Party (Estonia),female,,,241353.0,kajakallas
Kristina Smigun Vahi,Estonia,1977.0,,Estonian Reform Party (Estonia),female,,,,
Souad Zaydi,Morocco,1977.0,,Parti Du Progres Et Du Socialisme (Morocco),female,,,,
Gadar Agop Khachikian,Bulgaria,1977.0,,Simeon The Second National Movement (Bulgaria),female,,,,
Emilie Chalas,France,1977.0,,En Marche (France),female,,,10316.0,EmilieCChalas
Caroline Fiat,France,1977.0,,La France Insoumise (France),female,,,52534.0,CarolineFiat54
Savino Elvira,Italy,1977.0,,Forza Italia Il Popolo Della Liberta Berlusconi Presidente (Italy),female,,,3919.0,elvirasavino
Aaja Chemnitz Larsen,Denmark,1977.0,,Inuit Ataqatigiit (Denmark),female,,,,aajacl
Sylvia Pinel,France,1977.0,,Parti Radical De Gauche (France),female,,,24909.0,SylviaPinel
Meloni Giorgia,Italy,1977.0,,Misto Non Iscritto Ad Alcuna Componente Politica (Italy),female,,,1908723.0,GiorgiaMeloni
Mariano Elisa,Italy,1977.0,,Partito Democratico (Italy),female,,,600.0,elisamariano16
Manzi Irene,Italy,1977.0,,Partito Democratico (Italy),female,,,1602.0,ManziIrene
Sarah Olney,United Kingdom,1977.0,,Liberal Democrat (United Kingdom),female,,,,
Linda C. Hofstad Helleland,Norway,1977.0,,Hoyre (Norway),female,,,19916.0,Lindacath
Christina Egelund,Denmark,1977.0,,Liberal Alliance (Denmark),female,,,7110.0,ChristinaEgelun
Patricia Guadalupe Pena Recio,Mexico,1977.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Leonori Marta,Italy,1977.0,,Partito Democratico (Italy),female,,,,
Svjetlana Lazic,Croatia,1977.0,,SDP (Croatia),female,,,,
Giammanco Gabriella,Italy,1977.0,,Forza Italia Il Popolo Della Liberta Berlusconi Presidente (Italy),female,,,13272.0,GabriGiammanco
Di Girolamo Gabriella,Italy,1977.0,,Movimento 5 Stelle (Italy),female,,,,
Gebhard Renate,Italy,1977.0,,Misto Non Iscritto Ad Alcuna Componente Politica (Italy),female,,,,
Floridia Barbara,Italy,1977.0,,Movimento 5 Stelle (Italy),female,,,,
Aleksandra Jevtic,Serbia,1976.0,,Serbian Progressive Party (Serbia),female,,,,
Aleksandra Djurovic,Serbia,1976.0,,Serbian Progressive Party (Serbia),female,,,,
Alexandra Valetta Ardisson,France,1976.0,,En Marche (France),female,,,5785.0,A_Ardisson
Suna Kymalainen,Finland,1976.0,,Sosialidemokraatit (Finland),female,,,803.0,SunaKymlinen
Salikha Khakif Emin,Bulgaria,1976.0,,Movement For Rights And Freedoms (Bulgaria),female,,,,
Melanie Osswald,Germany,1976.0,,CSU (Germany),female,,,,
Doris Maria Achelwilm,Germany,1976.0,,Die Linke (Germany),female,,,,
Rebecca Evans,United Kingdom,1976.0,,Welsh Labour (United Kingdom),female,,,,RebeccaEvansAM
Laura Barrera Fortoul,Mexico,1976.0,,Partido Revolucionario Institucional (Mexico),female,,,99239.0,LauraBarreraF
Silvia Modig,Finland,1976.0,,Vasemmistoliitto (Finland),female,,,21546.0,silviamodig
Leire Pajin,Spain,1976.0,,PSOE (Spain),female,,,,
Biliana Iordanova Bekova,Bulgaria,1976.0,,Political Party Gerb (Bulgaria),female,,,,
Ozlem Piltanoglu Turkone,Turkey,1976.0,,Adalet Ve Kalkinma Partisi (Turkey),female,,,,
Strokova Elena Viktorovna,Russia,1976.0,,LDPR (Russia),female,,,,
Serova Elena Olegovna,Russia,1976.0,,Edinaia Rossiia (Russia),female,,,,
Pilvi Torsti,Finland,1976.0,,Sosialidemokraatit (Finland),female,,,7942.0,pilvitorsti
Fleur Agema,Netherlands,1976.0,,PVV (Netherlands),female,,,120868.0,FleurAgemaPVV
Mirja Vehkapera,Finland,1976.0,,Keskusta (Finland),female,,,3118.0,MirjaVehkapera
Elizabeth Karungi,Uganda,1976.0,,National Resistance Movement (Uganda),female,,,,
Ine M. Eriksen Soreide,Norway,1976.0,,Hoyre (Norway),female,,,,
Esther Davinia Anyakun,Uganda,1976.0,,National Resistance Movement (Uganda),female,,,,
Roxana Florentina Anusca,Romania,1976.0,,PNL (Romania),female,,,,
Nanette Diaz Barragan,United States,1976.0,,Democrat (United States),female,,,32539.0,RepBarragan
Esther Ouwehand,Netherlands,1976.0,,Partij Voor De Dieren (Netherlands),female,,,55849.0,estherouwehand
Lilly Adong,Uganda,1976.0,,National Resistance Movement (Uganda),female,,,,
Yuan Jing Hua,China,1976.0,,,female,,,,
Ioana Milcheva Kirova,Bulgaria,1976.0,,Political Party Gerb (Bulgaria),female,,,,
Zakia Khattabi,Belgium,1976.0,,Ecolo Groen (Belgium),female,,,,zakiakhattabi
Maria Jose Hoffmann Opazo,Chile,1976.0,,Union Democrata Independiente (Chile),female,,,,
Chiao Hui Su,,1976.0,,DPP (Taiwan),female,,,,
Mariana Gospodinova Toteva,Bulgaria,1976.0,,Coalition For Bulgaria (Bulgaria),female,,,,
Anja Weisgerber,Germany,1976.0,,Christian Social Union Of Bavaria (Germany),female,,,2357.0,anjaweisgerber
Roberta Alma Anastase,Romania,1976.0,,PNL (Romania),female,,,,
Raluca Turcan,Romania,1976.0,,PNL (Romania),female,,,,
Danai Van Weerdenburg,Netherlands,1976.0,,PVV (Netherlands),female,,,4016.0,Danai_PVV
Angellah Jasmine Mbelwa Kairuki,Tanzania,1976.0,,Chama Cha Mapinduzi (Tanzania),female,,,47812.0,AngellahKairuki
Natalia Elena Intotero,Romania,1976.0,,PSD (Romania),female,,,,
Corinne Ellemeet,Netherlands,1976.0,,Groenlinks (Netherlands),female,,,16699.0,CorinneEllemeet
Meyrem Almaci,Belgium,1976.0,,Ecolo Groen (Belgium),female,,,,meyremalmaci
Veronika Remisova,Slovak Republic,1976.0,,Obycajni Ludia A Nezavisle Osobnosti Olano Nova (Slovakia),female,,,,
Hym Brhym Fthy S D,Egypt,1976.0,,Lmw Tmr (Egypt),female,,,,
Leslie Pantoja Hernandez,Mexico,1976.0,,Partido Accion Nacional (Mexico),female,,,,
Sofio Katsarava,Georgia,1976.0,,The Georgian Dream (Georgia),female,,,,
Marie Guevenoux,France,1976.0,,En Marche (France),female,,,9774.0,mguevenoux
Cristina Traila,Romania,1976.0,,PNL (Romania),female,,,,
Daniela Dimitrova Mitkova,Bulgaria,1976.0,,Political Party Gerb (Bulgaria),female,,,,
Hanna Halmeenpaa,Finland,1976.0,,Vihrea Liitto (Finland),female,,,3503.0,hannahalmeenpaa
Katrin Jakobsdottir,Iceland,1976.0,,,female,,,,
Leone Cinzia,Italy,1976.0,,Movimento 5 Stelle (Italy),female,,,,
Jenniffer A. Gonzalez Colon,United States,1976.0,,PNP (Puerto Rico),female,,,,repjenniffer
Csep Eva Andrea,Romania,1976.0,,UDMR (Romania),female,,,,
Ashatu Kachwamba Kijaji,Tanzania,1976.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Rita Neves,Portugal,1976.0,,PS (Portugal),female,,,,
Magda Borges,Portugal,1976.0,,PSD (Portugal),female,,,,
Martha Roby,United States,1976.0,,Republican (United States),female,,martharoby,,RepMarthaRoby
Sara Lena Bjalko,Sweden,1976.0,,Sverigedemokraterna (Sweden),female,,,96.0,sdbjalko
Zuzana Kondrlikova Plhakova,Slovak Republic,1976.0,,Klub Sdku Ds (Slovakia),female,,,,
Ana Zita Gomes,Portugal,1976.0,,PSD (Portugal),female,,,,
Hanna Kosonen,Finland,1976.0,,Keskusta (Finland),female,,,14239.0,KosonenHanna
Kanopatskaja Anna,Belarus,1976.0,,,female,,,,
Barbara Asher Ayisi,Ghana,1976.0,,New Patriotic Party (Ghana),female,,,,
Eva Irgl,Slovenia,1976.0,,Slovenian Democratic Party (Slovenia),female,,,,
Susan Amero,Uganda,1976.0,,National Resistance Movement (Uganda),female,,,,
Sylvia Rwabwogo,Uganda,1976.0,,National Resistance Movement (Uganda),female,,,,
Gabriela Kalabkova,Czech Republic,1976.0,,Poslanecky Klub Ceske Strany Socialne Demokraticke (Czech Republic),female,,,,
Benita Sena Okity Duah Mrs,Ghana,1976.0,,National Democratic Congress (Ghana),female,,,,
Tulia Ackson,Tanzania,1976.0,,Chama Cha Mapinduzi (Tanzania),female,,,,
Anne Sulling,Estonia,1976.0,,Estonian Reform Party (Estonia),female,,,,annesulling
Dr. Simona Kustec Lipicer,Slovenia,1976.0,,Party Of Modern Centre (Slovenia),female,,,,
Mas Ermieyati Samsudin,Malaysia,1976.0,,United Malays National Organisation (Malaysia),female,,,,
Mag. Tanja Cink,Slovenia,1976.0,,Party Of Modern Centre (Slovenia),female,,,,
Judith Mary Amoit,Uganda,1976.0,,National Resistance Movement (Uganda),female,,,,
Manon Fokke,Netherlands,1976.0,,PVDA (Netherlands),female,,,1881.0,manonfokke
Ivana Weberova,Czech Republic,1976.0,,Poslanecky Klub Obcanske Demokraticke Strany (Czech Republic),female,,,,
Konstantopoulou Zoe,Greece,1976.0,,Syriza Coalition Of The Radical Left (Greece),female,,,,
Gloria Araujo,Portugal,1976.0,,PS (Portugal),female,,,,
Sharon Gesthuizen,Netherlands,1976.0,,SP (Netherlands),female,,,,
Jana Drastichova,Czech Republic,1976.0,,Poslanecky Klub Veci Verejne (Czech Republic),female,,,,
Gao Yan,China,1976.0,,,female,,,,
Sonia Backes,France,1976.0,,Les Republicains Caledoniens (New Caledonia),female,,,,
Paola Zanetti,France,1976.0,,Parti Socialiste (France),female,,,467.0,paolazanetti57
Nilza De Sena,Portugal,1976.0,,PSD (Portugal),female,,,,
Isabel Alves Moreira,Portugal,1976.0,,PS (Portugal),female,,,,
Liu Xiao Quan,China,1976.0,,,female,,,,
Inga Marte Thorkildsen,Norway,1976.0,,Sosialistisk Venstreparti (Norway),female,,,,
Maliina Abelsen,Denmark,1976.0,,Inuit Ataqatigiit (Greenland),female,,,,
Matuzko Olena Oleksandrivna,Ukraine,1976.0,,Fraktsiia Partiyi Blok Petra Poroshenka (Ukraine),female,,,,
Christelle Dubos,France,1976.0,,En Marche (France),female,,,22575.0,duboschristelle
Zi Yan Ping,China,1976.0,,,female,,,,
Ly Kieu Van,Vietnam,1976.0,,,female,,,,
P Rvin K Rimzad,Azerbaijan,1976.0,,Yeni Az Rbaycan Partiyasi (Azerbaijan),female,,,,
Siroyid Oksana Ivanivna,Ukraine,1976.0,,Fraktsiia Politichnoyi Partiyi Ob Iednannia Samopomich (Ukraine),female,,,,
Bach Thi Huong Thuy,Vietnam,1976.0,,,female,,,,
Tanja Windbuchler Souschill,Austria,1976.0,,Grune (Austria),female,,,752.0,windbuechler
Anneli Ott,Estonia,1976.0,,Estonian Centre Party (Estonia),female,,,,
Elissa Slotkin,United States,1976.0,,Democrat (United States),female,,repslotkin,96655.0,RepSlotkin
Ria Bond,New Zealand,1976.0,,Nz First (New Zealand),female,,,,RiaBondMP
Sara Latife Ruiz Chavez,Mexico,1976.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Tracey Martin,New Zealand,1976.0,,Nz First (New Zealand),female,,,,traceymartinmp
Mag. Christiane Brunner,Austria,1976.0,,Grune (Austria),female,,,1887.0,OekoBrunner
Dragana Jeckov,Croatia,1976.0,,SDSS (Croatia),female,,,,
Esther Nicholas Matiko,Tanzania,1976.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Benedicte Taurine,France,1976.0,,La France Insoumise (France),female,,,20545.0,BenedictTaurine
Lau Siu Lai,China,1976.0,,"Independent (Hong Kong SAR, China)",female,,,,
Biti Caterina,Italy,1976.0,,Partito Democratico (Italy),female,,,4060.0,caterinabiti
Berangere Abba,France,1976.0,,En Marche (France),female,,,25220.0,b_abba
Asenati Taylor,New Zealand,1976.0,,New Zealand First (New Zealand),female,,,,
Macarena Gelman,Uruguay,1976.0,,Partido Frente Amplio (Uruguay),female,,,,
"Szabo, Timea",Hungary,1976.0,,Parbeszed (Hungary),female,,,,
Victoria Atkins,United Kingdom,1976.0,,Conservative (United Kingdom),female,,,116.0,vmatkins
Daga Federica,Italy,1976.0,,Movimento 5 Stelle (Italy),female,,,8460.0,FedericaDaga
Cornelia Ecker,Austria,1976.0,,SPO (Austria),female,,,,
Marsha De Cordova,United Kingdom,1976.0,,Labour (United Kingdom),female,,,,Marshadecordova
Keit Pentus Rosimannus,Estonia,1976.0,,Estonian Reform Party (Estonia),female,,,3336.0,KeitPentus
Kendra S. Horn,United States,1976.0,,Democrat (United States),female,,,,
Josefina Victoria Gonzalez,Argentina,1976.0,,Frente Para La Victoria Pj (Argentina),female,,,,
Bryndis Haraldsdottir,Iceland,1976.0,,Independence Party (Iceland),female,,,,
Abir Al Sahlani,Sweden,1976.0,,Centerpartiet (Sweden),female,,,,abiralsahlani
Lidija Bagaric,Croatia,1976.0,,SDP (Croatia),female,,,,
Susana Correa Borrero,Colombia,1976.0,,,female,,,73813.0,SusanaCorreaBor
Lorenia Iveth Valles Sampedro,Mexico,1976.0,,Partido De La Revolucion Democratica (Mexico),female,,,,
Barbara Steinemann,Switzerland,1976.0,,V (Switzerland),female,,,,
Nikica Korubin,North Macedonia,1976.0,,Independent Mps (North Macedonia),female,,,,
Caroline Abadie,France,1976.0,,En Marche (France),female,,,7129.0,AbadieCaroline
Valerie Petit,France,1976.0,,En Marche (France),female,,,,ValeriePetit_EM
"Devi, Smt. Veena",India,1976.0,,Lok Jan Shakti Party (India),female,,,,
Ralitsa Nencheva Again,Bulgaria,1976.0,,Simeon The Second National Movement (Bulgaria),female,,,,
Camilla Hansen,Sweden,1976.0,,Miljopartiet De Grona (Sweden),female,,,,
Jenniffer Gonzalez Colon,United States,1976.0,,Republican (United States),female,,,,repjenniffer
Catherine Mckinnell,United Kingdom,1976.0,,Labour (United Kingdom),female,,,,catmckinnell
"Tarai, Smt. Rita",India,1976.0,,Biju Janata Dal (India),female,,,,
Joanna Mucha,Poland,1976.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
"Arzetty Bilbina Setyawan, Se., M.A.P",Indonesia,1976.0,,National Awakening Party Faction (Indonesia),female,,,,
Karina Adsbol,Denmark,1976.0,,The Danish People S Party (Denmark),female,,,289.0,Karinameldgaard
Andrea Martina Geissbuhler,Switzerland,1976.0,,V (Switzerland),female,,,,
Karen Mullan,United Kingdom,1976.0,,Sinn Fein (United Kingdom),female,,,4433.0,k_mullan
Ozlem Sara Cekic,Denmark,1976.0,,Socialistisk Folkeparti (Denmark),female,,,25476.0,cekicozlem
Ana Komparic Devcic,Croatia,1976.0,,SDP (Croatia),female,,,,
Bozena Henczyca,Poland,1976.0,,Klub Parlamentarny Platforma Obywatelska (Poland),female,,,,
Sofia Arkelsten,Sweden,1976.0,,Moderata Samlingspartiet (Sweden),female,,,17004.0,Arkelsten
Melita Mulic,Croatia,1976.0,,SDP (Croatia),female,,,,
Lan Ling Li,China,1976.0,,,female,,,,
"Turabin Hataman, Sitti Djalia A",Philippines,1976.0,,AMIN (Philippines),female,,,,
Kampamba Mulenga Chilumba,Zambia,1976.0,,Patriotic Front (Zambia),female,,,,
Ana Marija Petin,Croatia,1976.0,,HSS (Croatia),female,,,,
Helen Whately,United Kingdom,1976.0,,Conservative (United Kingdom),female,,,,helen_whately
Camani Vanessa,Italy,1976.0,,,female,,,733.0,VanessaCamani
Ziita Eriksson,Sweden,1976.0,,Moderata Samlingspartiet (Sweden),female,,,,
Laura Smyth,Australia,1976.0,,Australian Labor Party (Australia),female,,,,
Borgonzoni Lucia,Italy,1976.0,,LEGA (Italy),female,,,5538.0,LuciaBorgonzoni
Asa Westlund,Sweden,1976.0,,Socialdemokraterna (Sweden),female,,,9021.0,AsaWestlund
Pannarale Annalisa,Italy,1976.0,,Sinistra Italiana Sinistra Ecologia Liberta Possibile (Italy),female,,,1671.0,AnnalisaPanna
S D Jbr Mhmd Ly,Iraq,1976.0,,Y Tlf Dwl Lqnwn (Iraq),female,,,,
Nina Larsson,Sweden,1976.0,,Folkpartiet Liberalerna (Sweden),female,,,,
Valente Valeria,Italy,1976.0,,Partito Democratico (Italy),female,,,6613.0,ValeriaValente_
Kyrsten Sinema,United States,1976.0,,Democrat (United States),female,,repsinema,,RepSinema
Mydy Jml Ly Khn Mhmd,Iraq,1976.0,,Yh Kyty Nyshtmny Kwrdstn Lthd Lwtny Lkwrdstny (Iraq),female,,,,
Denise Mitchell,Ireland,1976.0,,Sinn Fein (Ireland),female,,,4420.0,DMitchellTD
Makishima Karen,Japan,1976.0,,LDP (Japan),female,,,29710.0,makishimakaren
Cathy Racon Bouzon,France,1976.0,,En Marche (France),female,,,6623.0,RaconCathy
Jessica Lee,United Kingdom,1976.0,,Conservative (United Kingdom),female,,,,
Maria Bailey,Ireland,1976.0,,Fine Gael (Ireland),female,,,,
Romina Khurshid Alam,Pakistan,1976.0,,Pml N (Pakistan),female,,,,
Ayelet Shaked,Israel,1976.0,,Habayit Hayehudi Chaired By Naftali Bennett (Israel),female,,,272080.0,Ayelet__Shaked
Marine Marabyan,Armenia,1976.0,,Republican (Armenia),female,,,,
Tamar Zandberg,Israel,1976.0,,Meretz (Israel),female,,,131502.0,tamarzandberg
Kerstin Vieregge,Germany,1976.0,,Christian Democratic Union (Germany),female,,,,
Merete Riisager,Denmark,1976.0,,Liberal Alliance (Denmark),female,,,,MereteRiisager
Fyz Mhmwd Bd Lhfz Mhmwd,Egypt,1976.0,,Mstqbl Wtn (Egypt),female,,,,
Manja Schule,Germany,1976.0,,Social Democratic Party Of Germany (Germany),female,,,,
Melanie Bernstein,Germany,1976.0,,Christian Democratic Union (Germany),female,,,,
Fatima Ezzahra Elmansouri,Morocco,1976.0,,Parti Authenticite Et Modernite (Morocco),female,,,,
Marta Dominguez Alvarez,Spain,1976.0,,G.p. Podemos En Comu Podem En Marea (Spain),female,,,2540.0,martadzalz
Satu Taiveaho,Finland,1976.0,,Sosialidemokraatit (Finland),female,,,,
Cecilia Moreau,Argentina,1976.0,,Federal Unidos Por Una Nueva Argentina (Argentina),female,,,,CECILIAMOREAU
Silke Launert,Germany,1976.0,,Christian Social Union Of Bavaria (Germany),female,,,,DrLaunert
Morani Alessia,Italy,1976.0,,Partito Democratico (Italy),female,,,52672.0,AlessiaMorani
Risala Said Kabongo,Tanzania,1976.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Svenja Stadler,Germany,1976.0,,Social Democratic Party Of Germany (Germany),female,,,4072.0,stadler_svenja
Milena Tsvetanova Damianova,Bulgaria,1976.0,,Parliamentary Group Of Pp Gerb (Bulgaria),female,,,,
Feleknas Uca,Turkey,1976.0,,Halklarin Demokratik Partisi (Turkey),female,,,174561.0,Feleknasuca
Gokcen Ozdogan Enc,Turkey,1976.0,,Adalet Ve Kalkinma Partisi (Turkey),female,,,67878.0,gokcenenc07
Christina Schwarzer,Germany,1976.0,,CDU (Germany),female,,,4771.0,TinaSchwarzer
Dinh Thi Phuong Lan,Vietnam,1976.0,,,female,,,,
Katja Dorner,Germany,1976.0,,Alliance 90 The Greens (Germany),female,,,19806.0,katjadoerner
Britt Bager,Denmark,1976.0,,The Liberal Party (Denmark),female,,,3750.0,brittbager
Carmen Monton,Spain,1976.0,,PSOE (Spain),female,,,32524.0,CarmenMonton
Suzanne Kroger,Netherlands,1976.0,,Groenlinks (Netherlands),female,,,,
Hawa Subira Mwaifunga,Tanzania,1976.0,,Chama Cha Demokrasia Na Maendeleo (Tanzania),female,,,,
Petra Gossi,Switzerland,1976.0,,RL (Switzerland),female,,,,
Cheryl Chan Wei Ling,Singapore,1976.0,,People S Action Party (Singapore),female,,,,
Karina Labastida Sotelo,Mexico,1976.0,,Partido Accion Nacional (Mexico),female,,,,
Adi Koll,Israel,1976.0,,Yesh Atid (Israel),female,,,,
Natalie Rickli,Switzerland,1976.0,,V (Switzerland),female,,,46876.0,NatalieRickli
Snezana Malovic,Serbia,1976.0,,Boris Tadic Social Democratic Party Together For Serbia Greens Of Serbia (Serbia),female,,,,
Kirsten Van Den Hul,Netherlands,1976.0,,PVDA (Netherlands),female,,,8732.0,kirstenvdhul
Ciprini Tiziana,Italy,1976.0,,Movimento 5 Stelle (Italy),female,,,13441.0,TiziCip
Ruzica Nikolic,Serbia,1976.0,,Serbian Radical Party (Serbia),female,,,,
Trudy Harrison,United Kingdom,1976.0,,Conservative (United Kingdom),female,,,,
Miroslava Stankovic Djuricic,Serbia,1976.0,,Serbian Radical Party (Serbia),female,,,,
Irene Mihalic,Germany,1976.0,,Alliance 90 The Greens (Germany),female,,,10803.0,IreneMihalic
Rashida Tlaib,United States,1976.0,,Democrat (United States),female,,rashidatlaib,1424192.0,RashidaTlaib
Johanna Sumuvuori,Finland,1976.0,,Vihrea Liitto (Finland),female,,,27779.0,sumuvuori
Concepcio Veray,Spain,1976.0,,PP (Spain),female,,,2352.0,Concepcioveray
Alma Lilia Luna Munguia,Mexico,1976.0,,Partido Revolucionario Institucional (Mexico),female,,,,
Lucia Nicholsonova,Slovak Republic,1976.0,,Sloboda A Solidarita (Slovakia),female,,,,
Safak Pavey,Turkey,1976.0,,Cumhuriyet Halk Partisi (Turkey),female,,,1403109.0,safakpavey
Tytti Tuppurainen,Finland,1976.0,,Sosialidemokraatit (Finland),female,,,21309.0,TyttiTup
Ayla Akat Ata,Turkey,1976.0,,Halklarin Demokratik Partisi (Turkey),female,,,,
Lucia Virginia Meza Guzman,Mexico,1975.0,,Partido De La Revolucion Democratica (Mexico),female,,,,
Lan Chun Tao,China,1975.0,,,female,,,,
Ruzica Vukovac,Croatia,1975.0,,MOST (Croatia),female,,,,
Bruna Esih,Croatia,1975.0,,Independent (Croatia),female,,,,
Deng Rui,China,1975.0,,,female,,,,
